Time_Index,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
1,1,0,1,0.95678848,0,1,0.874063134,1,1,1
2,1,0,1,0.960784912,0,1,0.785421908,1,1,1
3,1,0,1,0.964077592,0,1,0.838933825,1,1,1
4,1,0,1,0.821918488,0,1,0.836373806,1,1,1
5,1,0,1,0.535242558,0,1,0.798461854,1,1,1
6,1,0,1,0.421804518,0,1,0.835002184,1,1,1
7,1,0,1,0.44402492,0,1,0.936725378,1,1,1
8,1,0,1,0.506769657,0,1,0.92959249,1,1,1
9,1,0.1008,1,0.716469467,0.1563,1,0.786107421,1,1,1
10,1,0.3571,1,0.479748398,0.4284,1,0.73866868,1,1,1
11,1,0.5425,1,0.77202934,0.5777,1,0.717252851,1,1,1
12,1,0.6327,1,0.629349351,0.6501,1,0.634071887,1,1,1
13,1,0.6563,1,0.735723257,0.6632,1,0.717576087,1,1,1
14,1,0.6462,1,0.502739787,0.6461,1,0.680005491,1,1,1
15,1,0.5642,1,0.707346141,0.5617,1,0.761096835,1,1,1
16,1,0.3954,1,0.32747677,0.3732,1,0.737764895,1,1,1
17,1,0.1551,1,0.927522063,0.1768,1,0.7636289,1,1,1
18,1,0,1,0.636502683,0,1,0.771935344,1,1,1
19,1,0,1,0.664787829,0,1,0.867450655,1,1,1
20,1,0,1,0.515376031,0,1,0.923220873,1,1,1
21,1,0,1,0.439054638,0,1,0.93512392,1,1,1
22,1,0,1,0.750679374,0,1,0.801682234,1,1,1
23,1,0,1,0.814183295,0,1,0.73993969,1,1,1
24,1,0,1,0.872650862,0,1,0.863863051,1,1,1
25,1,0,1,0.465583175,0,1,0.699445486,1,1,1
26,1,0,1,0.707297444,0,1,0.740516305,1,1,1
27,1,0,1,0.895804107,0,1,0.670099914,1,1,1
28,1,0,1,0.819945991,0,1,0.605709374,1,1,1
29,1,0,1,0.610500693,0,1,0.594692707,1,1,1
30,1,0,1,0.34757489,0,1,0.614016056,1,1,1
31,1,0,1,0.285657108,0,1,0.590112448,1,1,1
32,1,0,1,0.317218393,0,1,0.627468705,1,1,1
33,1,0.1131,1,0.254971772,0.1509,1,0.457778186,1,1,1
34,1,0.3099,1,0.306124657,0.3546,1,0.473601222,1,1,1
35,1,0.4462,1,0.72285372,0.5514,1,0.414910913,1,1,1
36,1,0.4971,1,0.749075055,0.5828,1,0.367353141,1,1,1
37,1,0.5491,1,0.766450584,0.5721,1,0.440943152,1,1,1
38,1,0.5788,1,0.583024323,0.5944,1,0.561156869,1,1,1
39,1,0.5935,1,0.89966023,0.5804,1,0.544398606,1,1,1
40,1,0.4606,1,0.768344879,0.5083,1,0.415221393,1,1,1
41,1,0.2861,1,0.941289306,0.3311,1,0.461534441,1,1,1
42,1,0.04,1,0.691129565,0.0839,1,0.663944006,1,1,1
43,1,0,1,0.369385242,0,1,0.645860493,1,1,1
44,1,0,1,0.543988705,0,1,0.746088266,1,1,1
45,1,0,1,0.627581239,0,1,0.771381795,1,1,1
46,1,0,1,0.891589403,0,1,0.473645002,1,1,1
47,1,0,1,0.663651288,0,1,0.622891665,1,1,1
48,1,0,1,0.636843503,0,1,0.685363531,1,1,1
49,1,0,1,0.40935269,0,1,0.370613366,1,1,1
50,1,0,1,0.234519765,0,1,0.441856444,1,1,1
51,1,0,1,0.212540716,0,1,0.345414847,1,1,1
52,1,0,1,0.078753203,0,1,0.187525496,1,1,1
53,1,0,1,0.089597307,0,1,0.128975868,1,1,1
