elec_demand_MA,elec_demand_CT,elec_demand_ME
142603,86509,32650
133215,82158,31129
126761,79440,30181
121972,77663,29584
119224,77233,29457
118004,76789,29516
118925,79837,30415
125019,87377,32609
138941,95296,35350
154792,102572,37649
169471,108579,39185
181980,113840,40398
192201,117685,41234
200082,121069,41854
204403,123636,42309
206602,125930,42768
207521,127029,43420
205635,126049,43842
199732,123027,43366
192852,119784,42690
186130,117826,42329
178064,110884,40590
164951,102242,37553
150960,94175,34530
139470,88579,32237
131042,85021,30813
125306,83070,29912
122656,83388,29770
123535,87059,30595
128466,92600,32580
135523,99807,35929
143437,107878,39558
155027,115695,42518
168464,123665,44904
181174,130567,46954
192800,136348,48416
201940,141160,49663
208159,144781,50863
211883,146813,51557
213244,147863,52008
212097,147623,52069
207840,144305,51130
201439,139233,49479
194942,135454,48264
189347,131928,47409
181269,122768,44728
167433,111805,40657
153241,102766,36847
141345,95796,34113
133012,91163,32303
127633,88326,31281
124678,87947,30989
125363,90944,31826
129816,96249,33905
136625,102487,37275
144225,109418,40874
153391,116592,43684
163564,123731,45807
173925,130001,47553
183714,135250,48635
191539,140055,49471
197207,143579,50204
200432,145329,50399
202024,146066,50099
201292,145346,49381
199729,142153,48241
195171,137128,46897
190420,133189,46435
185263,129211,45959
178002,120124,43404
165026,109510,39803
150871,100279,36391
139752,93766,33839
131205,89452,32106
125747,86788,31239
123118,86447,31041
123885,89477,31975
128666,94915,34242
135816,101209,37717
143485,108097,41346
153661,115013,44338
165076,122073,46781
177814,128594,48668
191136,133317,49904
201411,137208,50876
210287,140379,51522
215683,142665,51681
217946,144095,51539
217932,143946,51399
214198,141171,50711
207774,136492,49672
200341,132441,48579
193596,128695,47667
185128,119555,45189
171005,108812,41301
156730,99547,37689
144727,92676,35118
136020,88430,33384
129765,85754,32342
126583,85407,32079
126893,88608,32907
130874,93856,35061
137659,100755,38639
145749,109062,42692
157617,117835,46304
171430,126549,49333
186191,134469,51836
199690,141261,53687
210360,147257,55012
217232,151644,56054
220245,154444,57378
220441,155323,57911
218733,154863,57875
214571,151890,57322
206857,146483,55852
199055,141833,54334
192060,137101,53142
183245,127454,50331
169584,116248,46016
155970,106457,41902
143515,98999,38825
134696,93921,36724
128738,90814,35403
125125,90038,34854
125466,92983,35488
129324,98035,37507
135871,104794,41089
143373,113601,45200
153784,122982,48986
166126,132430,52335
178035,140993,55287
188503,147922,57466
195797,153224,59036
201033,156283,60278
204040,157595,61001
205064,157770,61277
203226,156105,61028
198834,151565,59832
192243,145971,57944
185506,141606,56154
180207,137429,54824
173846,128615,52146
162238,118455,48083
149766,109002,44035
138691,101634,40730
130509,96556,38484
124762,92806,36894
120830,90936,35954
119297,90853,35645
119763,91537,35894
122338,95565,37752
128789,104668,41504
141294,114693,45897
155292,124745,49762
168473,132720,52826
180179,139057,54929
189214,143060,56152
195803,145482,56827
200391,147056,57189
201743,146565,57307
201596,143823,56906
198284,140335,56008
192242,135515,54527
185354,132333,53198
179903,129199,52269
173241,122250,50048
161931,113722,46806
150133,105599,43412
117795,77843,28518
110796,75101,27199
106417,73692,26496
104371,74057,26388
105967,78306,27309
112451,85763,29947
120889,93280,34102
127867,98545,37372
136006,103057,39337
145271,107499,40696
154745,111097,41642
164062,114280,42165
172725,117190,42506
179837,118758,42636
186452,119847,42548
191278,121156,42494
193452,121306,42458
191832,119117,41956
186155,116434,41320
179572,114985,40664
173207,113327,40111
164958,105911,37921
150941,96374,34212
136234,88318,30796
124059,82941,28581
115896,79517,27272
110648,77703,26565
107787,77784,26469
108582,81403,27309
114065,87835,29627
121748,95021,33426
130325,100801,36701
140613,105775,38748
152074,110776,40082
163873,115065,40910
174796,118846,41454
184568,122248,41892
192710,124281,42282
198353,125865,42289
201546,126937,42374
202246,126556,42409
199979,123524,41884
193118,118762,41183
184299,115389,40421
176268,113333,39997
167859,105681,38190
154066,96357,35039
139327,87954,31879
126861,81982,29593
117683,77900,28117
111326,75345,27210
107085,74052,26763
105349,74047,26698
105107,74764,27170
107168,79312,28999
114265,86730,31889
127006,94324,35003
141313,101328,37467
155174,107093,39160
167540,111660,40326
177367,115033,41044
183867,117441,41312
188435,118825,41218
192425,119587,41105
193790,119236,41244
191963,116948,41077
186800,113318,40594
179700,110371,39948
172615,108597,39618
164610,102498,38007
151496,94215,35054
137850,86750,32088
126123,81352,29731
117427,77344,28182
111138,74751,27144
107016,73405,26584
104971,73050,26237
103978,72707,26138
105664,76449,27244
113084,84232,29325
126422,92922,31852
139911,100958,34077
152063,108033,35698
162889,113771,36834
171707,117834,37608
178338,120448,38005
182588,122445,38294
184528,124140,38641
184225,124191,38949
181896,122283,38973
176708,118260,38482
170588,115124,37958
165331,112351,37935
159370,106421,36770
147794,98244,34247
135220,90514,31572
124655,84745,29513
117276,80586,28182
111926,77963,27273
108707,76720,26943
107528,76731,26901
108223,77176,27289
110443,81410,28896
116823,89446,31539
128765,99137,34581
143567,108621,37296
157196,116744,39487
167431,122745,41244
174099,127132,42612
179387,130431,43520
182457,133360,44211
184219,135679,44800
185026,136727,45361
183426,135172,45380
178615,132112,44707
173936,130072,44638
169361,128066,44749
162359,119483,42325
149615,108924,38392
135897,99870,34942
125095,93740,32649
117886,89747,31133
113290,86958,30264
111099,86592,30198
112814,89764,31081
119619,96975,33793
128588,106616,38377
137218,114200,42500
146506,120466,45510
156130,126287,48003
165001,131104,50005
172699,134973,51346
178634,137846,51725
182948,140052,51950
185646,141743,51835
187184,142399,52008
187901,140841,51482
185080,136484,50688
180587,130994,49258
176434,126353,48357
172045,121202,46994
164028,111352,43630
150967,100509,39332
137193,92207,35602
126158,86215,33023
118469,82480,31289
113794,80473,30435
111356,80549,30268
112474,84085,31142
118676,90830,33659
126117,97835,37632
133364,102621,40796
142267,106258,42615
152253,110128,43853
162707,112919,44696
172768,114923,45241
181474,117106,45599
189471,118525,45777
195067,119749,45702
198899,120921,45876
199874,120654,45958
197885,118109,45291
192199,114216,44311
184471,111278,43507
176604,109313,43054
166781,101476,40560
152031,91657,36630
137306,83860,33094
115209,83159,29051
109724,79989,27510
106838,78487,26733
105769,78287,26579
106842,80165,27162
112810,86047,29622
125788,96536,34239
