MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0,0.107152867,0,0.119612527
0,0.107913275,0,0.113571644
0,0.097630581,0,0.126846864
0.00369477,0.083765995,0,0.147012975
0.133816156,0.059973673,0.024606061,0.139599302
0.328146051,0.04318299,0.178318923,0.080775298
0.586136663,0.02221651,0.354850131,0.036069644
0.752070914,0.001674884,0.509982994,0.017929974
0.839426886,0.00076313,0.67216368,0.018636112
0.856425683,0.00165445,0.77231992,0.041996692
0.838399543,0.00272017,0.785461506,0.078920035
0.83490197,0.004440899,0.790460943,0.136775319
0.837687027,0.015188819,0.783359439,0.163377302
0.821896822,0.031493904,0.749632706,0.22303083
0.781265192,0.05591065,0.722366303,0.296610565
0.708517981,0.074468903,0.619859022,0.351217005
0.472444758,0.090295884,0.469252696,0.30911564
0.112708552,0.139033242,0.14545847,0.279214318
0.000250404,0.171520139,0.003283205,0.389208673
0,0.234450855,0,0.50168923
0,0.230606893,0,0.514440647
0,0.218651079,0,0.474629671
0,0.241806967,0,0.435867804
0,0.257477052,0,0.353553538
0,0.26796282,0,0.325768002
0,0.262439307,0,0.321824644
0,0.252814978,0,0.348022232
0.002927749,0.230161332,0,0.387689282
0.15722085,0.200419435,0.02730704,0.438382993
0.563041313,0.172806637,0.164817019,0.336723927
0.785385772,0.083637775,0.357254064,0.184574789
0.858001649,0.021699896,0.556789304,0.197418671
0.863191258,0.01260175,0.663434397,0.246004598
0.847207855,0.017411958,0.707343503,0.321813661
0.819350484,0.022890172,0.738743714,0.391757648
0.78852558,0.03001952,0.808347985,0.450881864
0.773578871,0.055891647,0.76628887,0.438145255
0.746136993,0.096615306,0.682763361,0.439525554
0.712114201,0.151162478,0.630555296,0.436594141
0.631702504,0.232257966,0.509087861,0.430246305
0.442180076,0.271730072,0.412519397,0.400482712
0.129409011,0.274030558,0.125149349,0.332542836
0.000744918,0.292823609,0.001991906,0.333705737
0,0.274474383,0,0.34966082
0,0.213604277,0,0.312642718
0,0.194524502,0,0.32329099
0,0.227669393,0,0.294874234
0,0.268388908,0,0.289485412
0,0.320850021,0,0.291133887
0,0.383744184,0,0.270482899
0,0.414727994,0,0.212916839
0.001705841,0.426123384,0,0.128401387
0.115781219,0.421792518,0.019664292,0.087004389
0.53418521,0.400502875,0.198884081,0.065655222
0.768875288,0.249615502,0.421732089,0.011622707
0.819359335,0.136520667,0.54420025,0.000307867
0.858792338,0.115846281,0.650401787,0.001546381
0.857703896,0.103594929,0.692762422,0.012606323
0.784108895,0.106658072,0.688765587,0.054204773
0.767606772,0.139228218,0.698362281,0.119294851
0.7486,0.178055747,0.662383315,0.164930988
0.636569693,0.267479815,0.573125728,0.169178055
0.476394469,0.329182549,0.438290617,0.195281041
0.34464026,0.327446993,0.298107547,0.236131509
0.181058065,0.3658273,0.151911484,0.252998988
0.031225872,0.372990952,0.037093611,0.417477478
0,0.410807247,0.000666489,0.579590925
0,0.46997458,0,0.580254838
0,0.433850648,0,0.520365751
0,0.416621331,0,0.436173594
0,0.374998308,0,0.345155827
0,0.351749473,0,0.262538159
0,0.38581291,0,0.188471253
0,0.450692871,0,0.157397066
0,0.510259993,0,0.100131909
0.000281113,0.542788721,0,0.100315324
0.079326243,0.549239698,0.027616485,0.139957658
0.214673931,0.546485794,0.153173653,0.137700535
0.273876237,0.429710291,0.206004464,0.04201618
0.459710399,0.301300018,0.287874839,0.029604139
0.621462065,0.288826165,0.389901146,0.03764704
0.724833371,0.295170071,0.446223021,0.027196397
0.721794342,0.290234752,0.490357246,0.06696125
0.685185313,0.307840126,0.498121695,0.159872945
0.667128132,0.339595123,0.475550294,0.304740098
0.687377907,0.390684968,0.414013396,0.28071661
0.615086495,0.402799111,0.429797744,0.304537323
0.453280846,0.376111547,0.521711302,0.307260131
0.314391059,0.367697911,0.445045318,0.239160877
0.071904877,0.386830552,0.155239355,0.234647401
0.000330478,0.332632474,0.003672674,0.219174225
0,0.317797374,0,0.254939655
0,0.289832763,0,0.32333836
0,0.261328209,0,0.319580555
0,0.229022188,0,0.342369246
0,0.228257633,0,0.379932823
0,0.252047421,0,0.42860206
0,0.284022933,0,0.481662169
0,0.299270662,0,0.514050872
0.003087294,0.30622985,0,0.556991416
0.178122827,0.291722377,0.068537276,0.538941569
0.5834579,0.262449313,0.429003446,0.34168301
0.793076547,0.152978174,0.708387344,0.094576817
0.854144479,0.068411091,0.840226624,0.091927523
0.801773006,0.060012942,0.879005668,0.110978419
0.74803928,0.059895434,0.870341309,0.119618368
0.745899534,0.075161938,0.840426389,0.143890197
0.68425683,0.097786391,0.792386765,0.186935416
0.746417386,0.096516302,0.757029158,0.214869502
0.756234245,0.109864333,0.723846041,0.20951859
0.76437383,0.128259832,0.709399179,0.206750691
0.739629095,0.156795616,0.650431091,0.199601642
0.550261854,0.152460565,0.503411374,0.212583472
0.140669602,0.12674903,0.147015413,0.214694637
7.76E-05,0.106316747,0.002136261,0.276280418
0,0.129187173,0,0.267322497
0,0.16037994,0,0.248737182
0,0.206034522,0,0.199201717
0,0.253951312,0,0.16797989
0,0.293462345,0,0.158906171
0,0.320743977,0,0.182952611
0,0.342007092,0,0.166349725
0,0.340016005,0,0.13975237
0.001193304,0.323930754,0,0.08748417
0.116240753,0.298104531,0.009734587,0.071252346
0.415999253,0.279878616,0.092905202,0.050814031
0.569098017,0.180864956,0.196139103,0.006076962
0.508193929,0.047394868,0.215006552,0.007684007
0.452053701,0.03416461,0.344882022,0.005918619
0.352137068,0.0267301,0.514861182,0.025256731
0.14888329,0.021243028,0.709019762,0.064532217
0.108833861,0.018432892,0.814562139,0.141005235
0.14297447,0.026896846,0.752034781,0.260001956
0.270933978,0.040945652,0.635572402,0.483935167
0.454600839,0.056582753,0.581213761,0.632822477
0.48087013,0.081710399,0.492445776,0.523920361
0.226099909,0.120269593,0.279261893,0.25046165
0.031437805,0.174984757,0.069375445,0.057823982
0,0.238868434,0.000908682,0.061460991
0,0.342168022,0,0.138887816
0,0.39697097,0,0.113156325
0,0.361052255,0,0.103002227
0,0.332040968,0,0.128224682
0,0.229055385,0,0.14383925
0,0.179902204,0,0.206373576
0,0.151063864,0,0.26408229
0,0.139348709,0,0.358837195
0.001752459,0.121434998,0,0.419880967
0.164437118,0.10583327,0.066225139,0.425974088
0.607823637,0.082908082,0.460676047,0.370483233
0.777899738,0.042225419,0.792160267,0.269223634
0.858506076,0.003862802,0.884833092,0.234849378
0.83512548,0.001691152,0.913690296,0.235155286
0.76387681,0.002826542,0.911093278,0.228632841
0.697045625,0.007118065,0.884150614,0.243549308
0.666459991,0.014897159,0.851010879,0.248702494
0.658601009,0.018771602,0.870398674,0.303008869
0.758998894,0.029764041,0.841558991,0.354789688
0.706270332,0.057341589,0.801603479,0.400323978
0.631338515,0.122411196,0.762247078,0.475203566
0.444450259,0.112068424,0.612195136,0.341425913
0.117051243,0.109950543,0.192353197,0.380960181
0,0.102490745,0.003331188,0.533040714
