Period_Index,Rep_Period,Rep_Period_Index
1,296,3
2,296,3
3,296,3
4,296,3
5,296,3
6,296,3
7,296,3
8,296,3
9,296,3
10,296,3
11,296,3
12,296,3
13,296,3
14,296,3
15,296,3
16,296,3
17,296,3
18,296,3
19,296,3
20,296,3
21,296,3
22,296,3
23,296,3
24,296,3
25,296,3
26,296,3
27,296,3
28,296,3
29,296,3
30,296,3
31,296,3
32,296,3
33,296,3
34,296,3
35,296,3
36,296,3
37,296,3
38,296,3
39,296,3
40,296,3
41,296,3
42,296,3
43,296,3
44,296,3
45,296,3
46,296,3
47,296,3
48,296,3
49,296,3
50,296,3
51,296,3
52,296,3
53,296,3
54,296,3
55,296,3
56,296,3
57,296,3
58,296,3
59,296,3
60,296,3
61,296,3
62,296,3
63,296,3
64,296,3
65,296,3
66,296,3
67,296,3
68,296,3
69,296,3
70,296,3
71,296,3
72,296,3
73,296,3
74,296,3
75,296,3
76,296,3
77,296,3
78,296,3
79,296,3
80,296,3
81,296,3
82,296,3
83,296,3
84,296,3
85,296,3
86,296,3
87,296,3
88,296,3
89,296,3
90,296,3
91,296,3
92,296,3
93,296,3
94,296,3
95,296,3
96,296,3
97,296,3
98,296,3
99,296,3
100,296,3
101,296,3
102,296,3
103,296,3
104,296,3
105,296,3
106,296,3
107,296,3
108,296,3
109,296,3
110,296,3
111,296,3
112,296,3
113,296,3
114,296,3
115,296,3
116,296,3
117,296,3
118,296,3
119,296,3
120,296,3
121,296,3
122,296,3
123,296,3
124,296,3
125,296,3
126,296,3
127,296,3
128,296,3
129,296,3
130,296,3
131,296,3
132,296,3
133,296,3
134,296,3
135,296,3
136,296,3
137,296,3
138,296,3
139,296,3
140,296,3
141,296,3
142,296,3
143,296,3
144,296,3
145,296,3
146,296,3
147,296,3
148,296,3
149,296,3
150,296,3
151,296,3
152,296,3
153,296,3
154,296,3
155,296,3
156,296,3
157,296,3
158,296,3
159,296,3
160,160,1
161,296,3
162,296,3
163,296,3
164,296,3
165,296,3
166,296,3
167,296,3
168,296,3
169,296,3
170,296,3
171,296,3
172,296,3
173,296,3
174,296,3
175,296,3
176,296,3
177,296,3
178,296,3
179,296,3
180,296,3
181,296,3
182,296,3
183,296,3
184,296,3
185,185,2
186,296,3
187,296,3
188,296,3
189,296,3
190,296,3
191,296,3
192,296,3
193,296,3
194,296,3
195,296,3
196,296,3
197,296,3
198,296,3
199,296,3
200,296,3
201,296,3
202,296,3
203,296,3
204,296,3
205,296,3
206,296,3
207,296,3
208,296,3
209,296,3
210,296,3
211,296,3
212,296,3
213,296,3
214,296,3
215,296,3
216,296,3
217,296,3
218,296,3
219,296,3
220,296,3
221,296,3
222,296,3
223,296,3
224,296,3
225,296,3
226,296,3
227,296,3
228,296,3
229,296,3
230,296,3
231,296,3
232,296,3
233,296,3
234,296,3
235,296,3
236,296,3
237,296,3
238,296,3
239,296,3
240,296,3
241,296,3
242,296,3
243,296,3
244,296,3
245,296,3
246,296,3
247,296,3
248,296,3
249,296,3
250,296,3
251,296,3
252,296,3
253,296,3
254,296,3
255,296,3
256,296,3
257,296,3
258,296,3
259,296,3
260,296,3
261,296,3
262,296,3
263,296,3
264,296,3
265,296,3
266,296,3
267,296,3
268,296,3
269,296,3
270,296,3
271,296,3
272,296,3
273,296,3
274,296,3
275,296,3
276,296,3
277,296,3
278,296,3
279,296,3
280,296,3
281,296,3
282,296,3
283,296,3
284,296,3
285,296,3
286,296,3
287,296,3
288,296,3
289,296,3
290,296,3
291,296,3
292,296,3
293,296,3
294,296,3
295,296,3
296,296,3
297,296,3
298,296,3
299,296,3
300,296,3
301,296,3
302,296,3
303,296,3
304,296,3
305,296,3
306,296,3
307,296,3
308,296,3
309,296,3
310,296,3
311,296,3
312,296,3
313,296,3
314,296,3
315,296,3
316,296,3
317,296,3
318,296,3
319,296,3
320,296,3
321,296,3
322,296,3
323,296,3
324,296,3
325,296,3
326,326,4
327,296,3
328,296,3
329,296,3
330,296,3
331,296,3
332,296,3
333,296,3
334,296,3
335,296,3
336,296,3
337,296,3
338,296,3
339,296,3
340,296,3
341,296,3
342,296,3
343,296,3
344,296,3
345,296,3
346,296,3
347,296,3
348,296,3
349,296,3
350,296,3
351,296,3
352,296,3
353,296,3
354,296,3
355,296,3
356,296,3
357,296,3
358,296,3
359,296,3
360,296,3
361,296,3
362,296,3
363,296,3
364,296,3
365,296,3
