elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
15089.0,64596.0,13246.0,5380.0,3120.0,3663.0,7951.0,11115.0,7947.0,18597.0,3163.0
14327.0,64359.0,12574.0,5167.0,2967.0,3533.0,7855.0,10969.0,7633.0,18406.0,3071.0
13219.0,60603.0,11691.0,4824.0,2752.0,3306.0,7466.0,10402.0,7149.0,17509.0,2947.0
12008.0,56742.0,10788.0,4461.0,2534.0,3070.0,7099.0,9777.0,6573.0,16446.0,2754.0
11007.0,52164.0,10093.0,4088.0,2338.0,2863.0,6648.0,9009.0,5981.0,15102.0,2643.0
10373.0,46550.0,9624.0,3837.0,2230.0,2734.0,6144.0,8193.0,5674.0,13709.0,2596.0
9957.0,42124.0,9404.0,3695.0,2173.0,2683.0,5720.0,7498.0,5519.0,12550.0,2598.0
9753.0,39080.0,9168.0,3580.0,2103.0,2660.0,5424.0,7121.0,5391.0,11856.0,2572.0
9928.0,36882.0,9147.0,3571.0,2129.0,2695.0,5212.0,6929.0,5361.0,11498.0,2562.0
10662.0,35631.0,9500.0,3706.0,2195.0,2809.0,5139.0,6851.0,5529.0,11323.0,2548.0
12078.0,35441.0,10539.0,4109.0,2482.0,3047.0,5239.0,6992.0,6111.0,11645.0,2605.0
13206.0,37688.0,11684.0,4683.0,2817.0,3252.0,5443.0,7688.0,7041.0,12662.0,2776.0
13963.0,43039.0,12774.0,5104.0,3016.0,3513.0,6006.0,8850.0,7716.0,14684.0,2966.0
13974.0,50090.0,12908.0,5215.0,3004.0,3625.0,6443.0,9805.0,7812.0,16204.0,3060.0
13556.0,55996.0,12637.0,5158.0,2930.0,3623.0,6907.0,10183.0,7719.0,16840.0,3152.0
13092.0,57703.0,12116.0,5008.0,2846.0,3576.0,7104.0,10181.0,7534.0,16764.0,3113.0
12887.0,56524.0,11872.0,4879.0,2782.0,3525.0,6983.0,10037.0,7386.0,16482.0,3065.0
12753.0,55388.0,11602.0,4792.0,2762.0,3475.0,6789.0,9801.0,7253.0,16031.0,3028.0
12599.0,55198.0,11531.0,4697.0,2726.0,3416.0,6727.0,9625.0,7147.0,15710.0,3002.0
12933.0,54291.0,11867.0,4696.0,2777.0,3423.0,6657.0,9517.0,7185.0,15484.0,3072.0
13482.0,53105.0,12444.0,4777.0,2894.0,3374.0,6590.0,9393.0,7315.0,15268.0,3093.0
14513.0,54717.0,13535.0,5054.0,3106.0,3512.0,6732.0,9465.0,7624.0,15473.0,3102.0
15649.0,56937.0,14302.0,5408.0,3287.0,3757.0,7135.0,9906.0,8030.0,16398.0,3254.0
15592.0,62998.0,14211.0,5523.0,3243.0,3765.0,7762.0,10678.0,8025.0,17708.0,3225.0
14960.0,67455.0,13714.0,5410.0,3116.0,3636.0,8046.0,11068.0,7818.0,18376.0,3154.0
14357.0,66732.0,13046.0,5183.0,2970.0,3527.0,8023.0,10918.0,7542.0,18155.0,3063.0
13232.0,62863.0,12142.0,4852.0,2762.0,3287.0,7663.0,10475.0,7088.0,17343.0,2920.0
11999.0,58801.0,11154.0,4474.0,2549.0,3053.0,7299.0,9813.0,6503.0,16266.0,2783.0
11099.0,53600.0,10264.0,4119.0,2370.0,2865.0,6900.0,9066.0,6024.0,15019.0,2663.0
10475.0,48100.0,9762.0,3860.0,2250.0,2759.0,6330.0,8307.0,5679.0,13667.0,2607.0
10114.0,43086.0,9501.0,3717.0,2192.0,2708.0,5926.0,7606.0,5474.0,12574.0,2611.0
9961.0,39857.0,9338.0,3634.0,2131.0,2678.0,5608.0,7259.0,5411.0,11964.0,2611.0
10201.0,37395.0,9251.0,3617.0,2150.0,2707.0,5483.0,7085.0,5430.0,11619.0,2576.0
10952.0,35856.0,9628.0,3767.0,2224.0,2785.0,5407.0,6972.0,5625.0,11447.0,2592.0
12501.0,35998.0,10631.0,4163.0,2508.0,3016.0,5447.0,7157.0,6242.0,11782.0,2654.0
13762.0,38108.0,11750.0,4761.0,2854.0,3287.0,5699.0,7844.0,7087.0,12891.0,2787.0
14591.0,43403.0,12917.0,5188.0,3032.0,3553.0,6296.0,9032.0,7801.0,14941.0,3000.0
14337.0,50343.0,13155.0,5300.0,3016.0,3644.0,6691.0,9995.0,7808.0,16678.0,3091.0
13890.0,56008.0,13051.0,5210.0,2935.0,3645.0,7171.0,10366.0,7691.0,17288.0,3138.0
